parent,name,scientific,rank,image_url
Marder,Altweltotter,Lutra,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Nutria_8._F._FOTO-ARDEIDAS.jpg/100px-Nutria_8._F._FOTO-ARDEIDAS.jpg
Altweltotter,Eurasischer Fischotter,Lutra lutra,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Fischotter%2C_Lutra_Lutra.JPG/100px-Fischotter%2C_Lutra_Lutra.JPG
Marder,Honigdachs,Mellivora capensis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Honey_badger.jpg/100px-Honey_badger.jpg
Marderverwandte,Skunks,Mephitidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Skunk_about_to_spray.jpg/100px-Skunk_about_to_spray.jpg
Skunks,Streifenskunk,Mephitis mephitis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Striped_Skunk.jpg/100px-Striped_Skunk.jpg
Marderverwandte,Ailuridae,Ailuridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Red_Panda_%2824960663871%29.jpg/100px-Red_Panda_%2824960663871%29.jpg
Ailuridae,Kleine Pandas,Ailurus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Red_Panda_%2824960663871%29.jpg/100px-Red_Panda_%2824960663871%29.jpg
Marderverwandte,Kleinbären,Procyonidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/%2A_Raccoon.jpg/100px-%2A_Raccoon.jpg
Kleinbären,Waschbär,Procyon lotor,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Raccoon_in_Central_Park_%2835264%29.jpg/100px-Raccoon_in_Central_Park_%2835264%29.jpg
Kleinbären,Nasenbären,Nasua,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Nasua_nasua_01.jpg/100px-Nasua_nasua_01.jpg
Raubtiere,Katzenartige,Feliformia,Unterordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Suborder_feliformia.JPG/100px-Suborder_feliformia.JPG
Katzenartige,Katzen,Felidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/The_Felidae.jpg/100px-The_Felidae.jpg
Katzen,Kleinkatzen,Felinae,Unterfamilie,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Close-up_of_a_Leopard_Cat_in_Sundarban.jpg/100px-Close-up_of_a_Leopard_Cat_in_Sundarban.jpg
Kleinkatzen,Gepard,Acinonyx jubatus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Mosetlha%2C_Madikwe_Game_Reserve%2C_South_Africa_%2848012186231%29.jpg/100px-Mosetlha%2C_Madikwe_Game_Reserve%2C_South_Africa_%2848012186231%29.jpg
Kleinkatzen,Puma,Puma concolor,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Mountain_Lion_%28C%29.jpg/100px-Mountain_Lion_%28C%29.jpg
Kleinkatzen,Echte Katzen,Felis,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/European_Wildcat_Nationalpark_Bayerischer_Wald_02.jpg/100px-European_Wildcat_Nationalpark_Bayerischer_Wald_02.jpg
Echte Katzen,Europäische Wildkatze,Felis silvestris,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Felis_silvestris_silvestris_Luc_Viatour.jpg/100px-Felis_silvestris_silvestris_Luc_Viatour.jpg
Echte Katzen,Hauskatze,Felis catus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hauskatze_langhaar.jpg/100px-Hauskatze_langhaar.jpg
Kleinkatzen,Pardelkatzen,Leopardus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ocelot.jpg/100px-Ocelot.jpg
Pardelkatzen,Ozelot,Leopardus pardalis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ocelot.jpg/100px-Ocelot.jpg
Kleinkatzen,Eurasischer Luchs,Lynx lynx,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Lynx_lynx_1_%28Martin_Mecnarowski%29.jpg/100px-Lynx_lynx_1_%28Martin_Mecnarowski%29.jpg
Katzen,Grosskatzen,Pantherinae,Unterfamilie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Uncia_uncia.jpg/100px-Uncia_uncia.jpg
Grosskatzen,Eigentliche Grosskatzen,Panthera,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Lioness_on_the_prowl.jpg/100px-Lioness_on_the_prowl.jpg
Eigentliche Grosskatzen,Tiger,Panthera tigris,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Bengal_tiger_%28Panthera_tigris_tigris%29_female_3_crop.jpg/100px-Bengal_tiger_%28Panthera_tigris_tigris%29_female_3_crop.jpg
Eigentliche Grosskatzen,Jaguar,Panthera onca,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Jaguar_%28Panthera_onca_palustris%29_male_Three_Brothers_River.JPG/100px-Jaguar_%28Panthera_onca_palustris%29_male_Three_Brothers_River.JPG
Eigentliche Grosskatzen,Löwe,Panthera leo,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/011_The_lion_king_Tryggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg/100px-011_The_lion_king_Tryggve_in_the_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg
Eigentliche Grosskatzen,Leopard,Panthera pardus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Leopard_%28Panthera_pardus_pardus%29_Kruger.jpg/100px-Leopard_%28Panthera_pardus_pardus%29_Kruger.jpg
Eigentliche Grosskatzen,Schneeleopard,Panthera unica,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Uncia_uncia.jpg/100px-Uncia_uncia.jpg
Grosskatzen,Nebelparder,Neofelis diardi,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Neofelis_nebulosa.jpg/100px-Neofelis_nebulosa.jpg
Katzenartige,Hyänen,Hyanidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Spotted_hyena_in_Kenya.jpg/100px-Spotted_hyena_in_Kenya.jpg
Hyänen,Tüpfelhyäne,Crocuta crocuta,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Spotted_hyena_in_Kenya.jpg/100px-Spotted_hyena_in_Kenya.jpg
Hyänen,Streifenhyäne,Hyaena hyaena,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Striped_hyena_%28Hyaena_hyaena%29_-_cropped.jpg/100px-Striped_hyena_%28Hyaena_hyaena%29_-_cropped.jpg
Katzenartige,Mangusten,Herpestidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Banded_Mongoose_%28Mungos_mungo%29_foraging_outside_the_fence_..._%2830800475932%29_%282%29.jpg/100px-Banded_Mongoose_%28Mungos_mungo%29_foraging_outside_the_fence_..._%2830800475932%29_%282%29.jpg
Mangusten,Indischer Mungo,Urva edwardsii,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Herpestes_edwardsii._2.jpg/100px-Herpestes_edwardsii._2.jpg
Mangusten,Zebramanguste,Mungos mungo,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Banded_Mongoose_at_Copenhagen_Zoo.jpg/100px-Banded_Mongoose_at_Copenhagen_Zoo.jpg
Mangusten,Erdmännchen,Suricata suricatta,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Suricatos_%28Suricata_suricatta%29%2C_parque_nacional_Makgadikgadi_Pans%2C_Botsuana%2C_2018-07-30%2C_DD_29.jpg/100px-Suricatos_%28Suricata_suricatta%29%2C_parque_nacional_Makgadikgadi_Pans%2C_Botsuana%2C_2018-07-30%2C_DD_29.jpg
Katzenartige,Madagassische Raubtiere,Eupleridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Mungo1.jpg/100px-Mungo1.jpg
Madagassische Raubtiere,Fossa,Cryptoprocta ferox,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Cryptoprocta_Ferox.JPG/100px-Cryptoprocta_Ferox.JPG
Madagassische Raubtiere,Fanaloka,Fossa fossana,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Spotted_fanaloka_%28Fossa_fossana%29.jpg/100px-Spotted_fanaloka_%28Fossa_fossana%29.jpg
Katzenartige,Schleichkatzen,Viverridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Viverrids_mosaic.jpg/100px-Viverrids_mosaic.jpg
Schleichkatzen,Afrikanische Zibetkatze,Civettictis civetta,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Civettictis_civetta_11.jpg/100px-Civettictis_civetta_11.jpg
Schleichkatzen,Ginsterkatzen,Genetta,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Genetta_genetta_felina_%28Wroclaw_zoo%29.JPG/100px-Genetta_genetta_felina_%28Wroclaw_zoo%29.JPG
Schleichkatzen,Binturong,Arctictis binturong,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Binturong_in_Overloon.jpg/100px-Binturong_in_Overloon.jpg
